,ALMOÃ‡O,,,,,JANTAR,,,,,,
,RU,RA,RS,TOTAL,,RU,RA,CAISM,COTUCA,TOTAL,RS,TOTAL
1/ago.,2773,985,860,860,,1917,490,8,,2415,399,2814
2/ago.,2766,896,780,780,,1939,464,12,,2415,410,2825
3/ago.,,,1471,1471,,,,,,0,611,611
4/ago.,,,1257,1257,,,,,,0,,0
5/ago.,3981,1321,1608,1608,,2692,750,17,156,3615,855,4470
6/ago.,3874,1307,1634,1634,,2804,806,12,192,3814,917,4731
7/ago.,4137,1395,1869,1869,,2799,760,9,168,3736,865,4601
8/ago.,2497,793,909,909,,2720,786,10,177,3693,998,4691
9/ago.,3187,986,1070,1070,,1100,245,1,74,1420,286,1706
10/ago.,,,1387,1387,,,,,,0,521,521
11/ago.,,,1051,1051,,,,,,0,,0
12/ago.,4088,1361,1508,1508,,3092,803,10,,3905,963,4868
13/ago.,4097,1387,1754,1754,,1926,522,5,109,2562,506,3068
14/ago.,4226,1377,1847,1847,,2908,818,10,182,3918,939,4857
15/ago.,2529,830,944,944,,2990,760,16,194,3960,878,4838
16/ago.,4610,1299,2028,2028,,2388,597,7,42,3034,769,3803
17/ago.,3874,,,0,,1157,,,,1157,,1157
18/ago.,,,1252,1252,,,,,,0,,0
19/ago.,3720,1318,1518,1518,,3094,771,10,195,4070,1029,5099
20/ago.,4194,1411,1798,1798,,3019,827,3,163,4012,947,4959
21/ago.,4462,1324,1786,1786,,2772,720,8,137,3637,811,4448
22/ago.,3880,1253,1608,1608,,2984,814,11,192,4001,918,4919
23/ago.,4007,1239,1308,1308,,1778,408,6,147,2339,455,2794
24/ago.,,1285,907,907,,,,,,0,618,618
25/ago.,,,1018,1018,,,,,,0,,0
26/ago.,3913,,1536,1536,,2798,705,5,,3508,846,4354
27/ago.,4672,1450,2100,2100,,2711,781,8,197,3697,858,4555
28/ago.,4322,1396,1831,1831,,2737,723,4,153,3617,890,4507
29/ago.,3913,1309,1586,1586,,2746,728,4,152,3630,841,4471
30/ago.,3834,1226,1441,1441,,1199,260,3,83,1545,293,1838
31/ago.,,,1821,1821,,,,,,0,850,850