RU,,,,,,,RS,,,,,
Data,Período da Refeição, Grupo 1, Grupo 2, Grupo 3, Grupo 4,,Data,Período da Refeição, Grupo 1, Grupo 2, Grupo 3, Grupo 4
,,Arroz e Feijão,Guarnição,Saladas,Prato Principal,,,,Arroz e Feijão,Guarnição,Saladas,Prato Principal
01/07,A,162,33,72,455,,01/07,A,46,76,53,323
,J,63,88,50,0,,,J,34,24,20,72
02/07,A,152,53,60,605,,02/07,A,52,22,22,232
,J,113,56,48,353,,,J,37,36,19,146
03/07,A,148,145,59,535,,03/07,A,99,157,38,461
,J,188,58,77,575,,,J,40,15,16,125
04/07,A,138,40,59,400,,04/07,A,52,25,23,170
,J,152,50,44,654,,,J,44,21,22,204
05/07,A,0,0,0,0,,05/07,A,90,16,45,265
,J,0,0,0,0,,,J,55,77,42,177
06/07,A,0,0,0,0,,06/07,A,90,175,62,309
,J,0,0,0,0,,,J,0,0,0,0
07/07,A,190,298,70,570,,07/07,A,78,169,38,273
,J,83,13,42,350,,,J,15,5,7,43
08/07,A,72,66,43,283,,08/07,A,17,45,23,120
,J,160,28,57,440,,,J,40,9,17,119
09/07,A,0,0,0,0,,09/07,A,142,130,69,378
,J,0,0,0,0,,,J,0,0,0,0
10/07,A,82,6,46,217,,10/07,A,32,20,28,185
,J,95,29,39,206,,,J,26,11,7,63
11/07,A,87,90,29,236,,11/07,A,50,91,17,162
,J,28,29,18,84,,,J,5,5,9,46
12/07,A,0,0,0,0,,12/07,A,100,57,73,319
,J,0,0,0,0,,,J,47,41,24,113
13/07,A,0,0,0,0,,13/07,A,115,51,49,291
,J,0,0,0,0,,,J,0,0,0,0
14/07,A,87,74,52,273,,14/07,A,0,0,0,0
,J,114,90,36,280,,,J,0,0,0,0
15/07,A,126,32,38,366,,15/07,A,0,0,0,0
,J,75,30,43,305,,,J,0,0,0,0
16/07,A,36,16,31,95,,16/07,A,0,0,0,0
,J,78,166,43,268,,,J,0,0,0,0
17/07,A,130,137,47,496,,17/07,A,0,0,0,0
,J,0,0,0,0,,,J,0,0,0,0
18/07,A,46,43,27,136,,18/07,A,0,0,0,0
,J,88,14,36,271,,,J,0,0,0,0
19/07,A,123,206,61,361,,19/07,A,0,0,0,0
,J,36,7,21,101,,,J,0,0,0,0
20/07,A,75,29,23,86,,20/07,A,0,0,0,0
,J,0,0,0,0,,,J,0,0,0,0
21/07,A,65,60,46,216,,21/07,A,0,0,0,0
,J,90,81,37,302,,,J,0,0,0,0
22/07,A,56,58,39,115,,22/07,A,0,0,0,0
,J,79,23,46,279,,,J,0,0,0,0
23/07,A,142,123,49,364,,23/07,A,0,0,0,0
,J,60,41,44,264,,,J,0,0,0,0
24/07,A,69,7,33,186,,24/07,A,30,16,6,54
,J,42,13,40,115,,,J,6,2,2,15
25/07,A,237,96,39,425,,25/07,A,70,47,1,123
,J,158,41,25,265,,,J,13,5,0,17
26/07,A,0,0,0,0,,26/07,A,103,75,41,351
,J,0,0,0,0,,,J,49,67,18,172
27/07,A,0,0,0,0,,27/07,A,96,107,47,335
,J,0,0,0,0,,,J,0,0,0,0
28/07,A,95,14,41,266,,28/07,A,24,13,4,103
,J,38,21,28,116,,,J,3,3,1,18
29/07,A,102,143,64,359,,29/07,A,62,98,34,194
,J,62,7,48,272,,,J,10,1,6,30
30/07,A,104,48,32,346,,30/07,A,35,33,14,101
,J,68,61,36,276,,,J,12,8,5,36
31/07,A,105,75,55,446,,31/07,A,40,63,18,200
,J,94,26,29,301,,,J,10,3,2,26